316.txt	a	0.5	90.41	-12.0	18	3
316.txt	a	0.8	91.86	-11.0	18	3
316.txt	a	1.0	91.26	-15.0	18	3
316.txt	b	0.0	99.96	1.0	18	3
316.txt	b	0.5	99.65	-12.0	18	3
316.txt	b	0.8	99.40	-11.0	18	3
316.txt	b	1.0	99.22	-15.0	18	3
325.txt	a	0.0	75.37	-2.0	28	4
325.txt	a	0.5	66.45	-22.0	28	4
325.txt	a	0.8	85.61	-23.0	28	4
325.txt	a	1.0	80.97	-25.0	28	4
332.txt	a	0.0	84.67	2.0	18	12
332.txt	a	0.5	80.59	-10.0	18	12
332.txt	a	0.8	79.91	-8.0	18	12
332.txt	a	1.0	78.71	-13.0	18	12
332.txt	b	0.0	100.00	2.0	18	12
332.txt	b	0.5	99.67	-10.0	18	12
332.txt	b	0.8	99.65	-8.0	18	12
332.txt	b	1.0	99.47	-13.0	18	12
360.txt	a	0.0	83.46	-1.0	18	19
360.txt	a	0.5	86.73	-10.0	18	19
360.txt	a	0.8	77.87	-12.0	18	19
360.txt	a	1.0	76.21	-13.0	18	19
360.txt	b	0.0	99.92	-1.0	18	19
360.txt	b	0.5	99.61	-10.0	18	19
360.txt	b	0.8	99.25	-12.0	18	19
360.txt	b	1.0	98.74	-13.0	18	19
361.txt	a	0.0	80.76	-2.0	27	19
361.txt	a	0.5	87.03	-18.0	27	19
361.txt	a	0.8	74.60	-17.0	27	19
361.txt	a	1.0	86.05	-19.0	27	19
361.txt	b	0.0	99.84	-2.0	27	19
361.txt	b	0.5	99.68	-18.0	27	19
361.txt	b	0.8	99.46	-17.0	27	19
361.txt	b	1.0	99.34	-19.0	27	19
368.txt	a	0.0	67.16	-1.0	18	11
368.txt	a	0.5	79.36	-12.0	18	11
368.txt	a	0.8	72.77	-12.0	18	11
368.txt	a	1.0	69.63	-15.0	18	11
368.txt	b	0.0	89.88	-1.0	18	11
368.txt	b	0.5	85.99	-12.0	18	11
368.txt	b	0.8	84.16	-12.0	18	11
368.txt	b	1.0	83.21	-15.0	18	11
45.txt	a	0.0	70.75	-4.0	27	12
45.txt	a	0.5	91.54	-24.0	27	12
45.txt	a	0.8	64.81	-23.0	27	12
45.txt	a	1.0	65.93	-22.0	27	12
76.txt	a	0.0	89.64	1.0	18	23
76.txt	a	0.5	85.24	-6.0	18	23
76.txt	a	0.8	86.97	-8.0	18	23
76.txt	a	1.0	76.39	-8.0	18	23
76.txt	b	0.0	99.90	1.0	18	23
76.txt	b	0.5	99.12	-6.0	18	23
76.txt	b	0.8	98.39	-8.0	18	23
76.txt	b	1.0	97.33	-8.0	18	23
77.txt	a	0.0	89.03	3.0	27	24
77.txt	a	0.5	90.32	-13.0	27	24
77.txt	a	0.8	84.40	-14.0	27	24
77.txt	a	1.0	81.83	-15.0	27	24
77.txt	b	0.0	99.89	3.0	27	24
77.txt	b	0.5	98.89	-13.0	27	24
77.txt	b	0.8	98.43	-14.0	27	24
77.txt	b	1.0	97.73	-15.0	27	24
9.txt	a	0.0	92.76	0.0	28	14
9.txt	a	0.5	77.85	-20.0	28	14
9.txt	a	0.8	79.96	-19.0	28	14
9.txt	a	1.0	75.69	-20.0	28	14
9.txt	b	0.0	99.82	0.0	28	14
9.txt	b	0.5	99.93	-20.0	28	14
9.txt	b	0.8	99.85	-19.0	28	14
9.txt	b	1.0	99.85	-20.0	28	14
File	Mode	Alpha	AUC	Delta	#MutEst	#MutReal
